theta phi g por re h11 h22 h33
0.0 0.0 0.01 0.4 0.000139664494891 0.000106879389824 0.000106942503525 0.000772520790582
0.0 0.0 60.0 0.4 0.837751411291 0.000107076775221 0.000107020144983 0.000765340467262
0.0 0.0 600.0 0.4 8.3066837692 0.00010902140978 0.000106027903515 0.000540291071649
0.0 0.0 3000.0 0.4 39.0730366429 0.000101911817316 0.000106827903515 0.000440291071649
0.0 0.0 6000.0 0.4 68.8975949308 9.01507773354e-05 0.000106227903515 0.000384586308032
0.0 0.0 8000.0 0.4 98.8975949308 3.01507773354e-05 0.000103227903515 0.000334586308032
22.5 0.0 0.01 0.4 0.000139281979194 0.000106879389824 0.00010694266361 0.000772520791422
22.5 0.0 70.0 0.4 0.972896444688 0.000107080577251 0.000107039600661 0.000762887895742
22.5 0.0 600.0 0.4 8.24435205315 0.000108393318209 0.000106512158895 0.000547274989975
22.5 0.0 3000.0 0.4 37.2196753775 0.000100884268641 8.28499589559e-05 0.000409418445049
22.5 0.0 6000.0 0.4 65.2529861987 8.97707344059e-05 5.33461249492e-05 0.000309418445049
0.0 45.0 0.01 0.4 0.000686579517311 0.000106879389824 0.000106942743653 0.000772520790555
0.0 45.0 15.0 0.4 1.02951611609 0.000106885272966 0.000106913212681 0.000772290360046
0.0 45.0 150.0 0.4 9.99282112858 0.00010724326412 0.00010715886357 0.000533007653
0.0 45.0 800.0 0.4 39.2427836524 0.000108946804405 0.000106275623478 0.000388968395
0.0 45.0 2000.0 0.4 80.5067459123 0.000108425815561 0.000107275623478 0.000316461953
22.5 45.0 0.01 0.4 0.000686532363314 0.000106879389824 0.000106942743653 0.000772520791195
22.5 45.0 15.0 0.4 1.02944738169 0.000106895911476 0.000106922271326 0.00072291785187
22.5 45.0 160.0 0.4 10.6195501441 0.000107187874544 0.000107181520656 0.000548514193992
22.5 45.0 800.0 0.4 39.686045751 0.000108325815179 0.000106411668891 0.000393672912
