# Source     : all
# Name       : sampledSurface
# Cells      : 559600
# Volume     : 4.859558e-09
# Scale factor: 1.000000e+00
# Time       	volIntegrateU
1e-05        	3.136254e-11 1.535928e-14 8.255830e-21
2e-05        	6.363637e-11 2.215454e-14 2.687407e-20
3e-05        	9.590182e-11 2.612189e-14 2.737150e-20
4e-05        	1.279034e-10 2.834385e-14 2.937444e-20
5e-05        	1.595684e-10 2.980584e-14 3.025347e-20
6e-05        	1.908997e-10 3.085590e-14 3.118720e-20
7e-05        	2.219182e-10 3.170758e-14 3.176475e-20
8e-05        	2.526463e-10 3.243068e-14 3.220958e-20
9e-05        	2.831036e-10 3.309042e-14 3.257300e-20
0.0001       	3.133064e-10 3.369664e-14 3.288468e-20
0.00011      	3.432684e-10 3.425279e-14 3.318590e-20
0.00012      	3.730010e-10 3.476871e-14 3.341869e-20
0.00013      	4.025142e-10 3.525316e-14 3.363033e-20
0.00014      	4.318167e-10 3.570972e-14 3.385406e-20
0.00015      	4.609162e-10 3.614534e-14 3.403214e-20
0.00016      	4.898196e-10 3.657339e-14 3.421274e-20
0.00017      	5.185332e-10 3.699326e-14 3.437864e-20
0.00018      	5.470625e-10 3.740486e-14 3.459530e-20
0.00019      	5.754129e-10 3.780106e-14 3.473331e-20
0.0002       	6.035890e-10 3.820070e-14 3.490880e-20
0.00021      	6.315953e-10 3.853048e-14 3.504706e-20
0.00022      	6.594358e-10 3.888511e-14 3.520652e-20
0.00023      	6.871144e-10 3.923049e-14 3.531139e-20
0.00024      	7.146345e-10 3.956280e-14 3.545060e-20
0.00025      	7.419995e-10 3.991026e-14 3.563599e-20
0.00026      	7.692126e-10 4.022704e-14 3.582702e-20
0.00027      	7.962766e-10 4.054156e-14 3.600956e-20
0.00028      	8.231943e-10 4.086099e-14 3.616288e-20
0.00029      	8.499683e-10 4.118162e-14 3.634616e-20
0.0003       	8.766010e-10 4.150433e-14 3.650609e-20
0.00031      	9.030947e-10 4.183744e-14 3.669445e-20
0.00032      	9.294517e-10 4.217156e-14 3.685870e-20
0.00033      	9.556740e-10 4.252089e-14 3.704257e-20
0.00034      	9.817636e-10 4.287201e-14 3.722013e-20
0.00035      	1.007722e-09 4.324210e-14 3.743042e-20
0.00036      	1.033552e-09 4.362923e-14 3.758854e-20
0.00037      	1.059255e-09 4.398047e-14 3.774158e-20
0.00038      	1.084831e-09 4.433259e-14 3.793982e-20
0.00039      	1.110284e-09 4.469161e-14 3.808424e-20
0.0004       	1.135613e-09 4.500463e-14 3.822187e-20
0.00041      	1.160822e-09 4.536590e-14 3.835098e-20
0.00042      	1.185910e-09 4.575225e-14 3.847768e-20
0.00043      	1.210880e-09 4.607548e-14 3.858436e-20
0.00044      	1.235732e-09 4.644828e-14 3.869696e-20
0.00045      	1.260467e-09 4.682450e-14 3.881252e-20
