# Force      
# CofR       : 0.000000e+00 0.000000e+00 0.000000e+00
#            
# Time       	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1.000000e-05	7.549804e-07 -1.917060e-10 -1.741284e-26	7.143838e-07 -1.941792e-10 7.434151e-25	4.059662e-08 2.473124e-12 -7.608279e-25
2.000000e-05	8.018485e-07 -1.388801e-10 -1.811312e-18	7.338512e-07 -1.375759e-10 6.884811e-25	6.799721e-08 -1.304191e-12 -1.811313e-18
3.000000e-05	8.313930e-07 -1.371246e-10 -2.166403e-18	7.445032e-07 -1.342859e-10 7.239720e-25	8.688981e-08 -2.838778e-12 -2.166404e-18
4.000000e-05	8.511081e-07 -7.971349e-11 -1.319176e-18	7.488663e-07 -7.635511e-11 7.193328e-25	1.022418e-07 -3.358377e-12 -1.319176e-18
5.000000e-05	8.697094e-07 -5.072213e-11 -1.133350e-18	7.544483e-07 -4.756905e-11 7.284654e-25	1.152611e-07 -3.153079e-12 -1.133351e-18
6.000000e-05	8.863448e-07 -3.438487e-11 -1.507227e-18	7.595926e-07 -3.165880e-11 7.320400e-25	1.267522e-07 -2.726066e-12 -1.507227e-18
7.000000e-05	9.015067e-07 -2.935195e-11 -1.696518e-18	7.643664e-07 -2.703859e-11 7.370540e-25	1.371403e-07 -2.313368e-12 -1.696519e-18
8.000000e-05	9.154909e-07 -2.496355e-11 -1.711233e-18	7.687970e-07 -2.297278e-11 7.409517e-25	1.466939e-07 -1.990772e-12 -1.711233e-18
9.000000e-05	9.285651e-07 -2.254604e-11 -1.601577e-18	7.729746e-07 -2.081809e-11 7.447239e-25	1.555905e-07 -1.727954e-12 -1.601577e-18
1.000000e-04	9.408987e-07 -1.910844e-11 -1.331033e-18	7.769437e-07 -1.760870e-11 7.480804e-25	1.639550e-07 -1.499742e-12 -1.331033e-18
1.100000e-04	9.526175e-07 -1.746467e-11 -1.051020e-18	7.807405e-07 -1.617605e-11 7.511976e-25	1.718770e-07 -1.288613e-12 -1.051021e-18
1.200000e-04	9.638096e-07 -1.584334e-11 -7.354915e-19	7.843862e-07 -1.475197e-11 7.540773e-25	1.794233e-07 -1.091372e-12 -7.354922e-19
1.300000e-04	9.745444e-07 -1.319477e-11 -4.131327e-19	7.878998e-07 -1.229591e-11 7.566418e-25	1.866447e-07 -8.988673e-13 -4.131335e-19
1.400000e-04	9.848733e-07 -1.180610e-11 7.579355e-20	7.912927e-07 -1.110797e-11 7.590398e-25	1.935806e-07 -6.981319e-13 7.579279e-20
1.500000e-04	9.948412e-07 -1.015829e-11 4.624478e-19	7.945784e-07 -9.656839e-12 7.612045e-25	2.002628e-07 -5.014483e-13 4.624470e-19
1.600000e-04	1.004484e-06 -8.425339e-12 8.651412e-19	7.977672e-07 -8.120162e-12 7.631796e-25	2.067173e-07 -3.051776e-13 8.651404e-19
1.700000e-04	1.013832e-06 -6.673902e-12 1.344397e-18	8.008662e-07 -6.568871e-12 7.649678e-25	2.129655e-07 -1.050306e-13 1.344397e-18
1.800000e-04	1.022910e-06 -5.946215e-12 1.997784e-18	8.038839e-07 -6.037257e-12 7.665787e-25	2.190258e-07 9.104199e-14 1.997783e-18
1.900000e-04	1.031740e-06 -5.376183e-12 2.674405e-18	8.068265e-07 -5.652588e-12 7.680541e-25	2.249137e-07 2.764044e-13 2.674404e-18
2.000000e-04	1.040343e-06 3.047828e-13 3.369508e-18	8.097006e-07 -1.721581e-13 7.693250e-25	2.306428e-07 4.769409e-13 3.369508e-18
2.100000e-04	1.048735e-06 -2.013616e-14 4.049780e-18	8.125100e-07 -7.231038e-13 7.704609e-25	2.362248e-07 7.029677e-13 4.049779e-18
2.200000e-04	1.056928e-06 -1.189157e-12 4.481810e-18	8.152583e-07 -2.074765e-12 7.722905e-25	2.416701e-07 8.856080e-13 4.481809e-18
2.300000e-04	1.064943e-06 2.725211e-13 4.890449e-18	8.179547e-07 -7.739635e-13 7.715892e-25	2.469880e-07 1.046485e-12 4.890449e-18
2.400000e-04	1.072784e-06 -1.577908e-13 5.363646e-18	8.205974e-07 -1.354093e-12 7.732674e-25	2.521867e-07 1.196302e-12 5.363645e-18
2.500000e-04	1.080465e-06 2.423205e-12 5.992099e-18	8.231915e-07 1.082649e-12 7.734668e-25	2.572736e-07 1.340556e-12 5.992099e-18
2.600000e-04	1.087993e-06 -1.349260e-13 6.642020e-18	8.257379e-07 -1.610832e-12 7.749197e-25	2.622552e-07 1.475906e-12 6.642019e-18
2.700000e-04	1.095384e-06 5.344468e-12 7.216491e-18	8.282469e-07 3.739474e-12 7.739753e-25	2.671375e-07 1.604994e-12 7.216490e-18
2.800000e-04	1.102639e-06 1.502607e-12 7.643045e-18	8.307126e-07 -2.378426e-13 7.755645e-25	2.719261e-07 1.740450e-12 7.643045e-18
2.900000e-04	1.109769e-06 3.409842e-12 8.114063e-18	8.331430e-07 1.576434e-12 7.745086e-25	2.766258e-07 1.833409e-12 8.114062e-18
3.000000e-04	1.116779e-06 2.583661e-12 8.511556e-18	8.355380e-07 6.609013e-13 7.755515e-25	2.812413e-07 1.922760e-12 8.511555e-18
3.100000e-04	1.123679e-06 2.943324e-12 8.943713e-18	8.379020e-07 9.470170e-13 7.743880e-25	2.857768e-07 1.996307e-12 8.943712e-18
3.200000e-04	1.130471e-06 3.438340e-12 9.198641e-18	8.402346e-07 1.371854e-12 7.744058e-25	2.902360e-07 2.066486e-12 9.198640e-18
